Latitude,Longitude,LST
38.75,113.25,-1.1086004972457886
38.75,113.75,-0.7233999371528625
38.75,114.25,3.4979991912841797
38.75,114.75,4.376399040222168
38.75,115.25,5.465399265289307
38.75,115.75,4.94019889831543
38.75,116.25,4.85260009765625
38.75,116.75,5.85759973526001
38.75,117.25,3.356201410293579
38.75,117.75,0.674443244934082
38.75,118.25,
38.75,118.75,
38.75,119.25,
38.75,119.75,
38.25,80.25,1.1317989826202393
38.25,80.75,2.573800563812256
38.25,81.25,4.238199710845947
38.25,81.75,3.3630011081695557
38.25,82.25,4.595799922943115
38.25,82.75,4.797001361846924
38.25,83.25,4.9711995124816895
38.25,83.75,5.086002349853516
38.25,84.25,4.160999774932861
38.25,84.75,4.936199188232422
38.25,85.25,4.323400974273682
38.25,85.75,3.113399028778076
38.25,86.25,1.8102002143859863
38.25,86.75,0.18239960074424744
38.25,87.25,-0.2126007080078125
38.25,87.75,-3.053800582885742
38.25,88.25,-1.5876001119613647
38.25,88.75,-3.7982006072998047
38.25,89.25,-5.054201602935791
38.25,89.75,-3.237799882888794
38.25,90.25,-2.6633994579315186
38.25,90.75,-2.6834018230438232
38.25,91.25,-0.9512012004852295
38.25,91.75,-2.005598545074463
38.25,92.25,-3.643998384475708
38.25,92.75,-3.301600933074951
38.25,93.25,-0.4656008780002594
38.25,93.75,1.129999041557312
38.25,94.25,1.1386001110076904
38.25,94.75,-0.3416009545326233
38.25,95.25,-5.914400577545166
38.25,95.75,-8.316598892211914
38.25,96.25,-9.66560173034668
38.25,96.75,-7.218000888824463
38.25,97.25,-8.020599365234375
38.25,97.75,-9.091401100158691
38.25,98.25,-4.7524003982543945
38.25,98.75,-5.882000923156738
38.25,99.25,-2.8607981204986572
38.25,99.75,-3.3741986751556396
38.25,100.25,-4.7754011154174805
38.25,100.75,-2.390000820159912
38.25,101.25,0.09559997916221619
38.25,101.75,1.630399227142334
38.25,102.25,3.2767984867095947
38.25,102.75,3.7459990978240967
38.25,103.25,4.375598907470703
38.25,103.75,5.133999347686768
38.25,104.25,6.276198863983154
38.25,104.75,6.030200481414795
38.25,105.25,6.0365986824035645
38.25,105.75,3.7712008953094482
38.25,106.25,2.9635980129241943
38.25,106.75,3.8778018951416016
38.25,107.25,4.5092010498046875
38.25,107.75,4.619001388549805
38.25,108.25,4.8398027420043945
38.25,108.75,3.898998975753784
38.25,109.25,2.9559998512268066
38.25,109.75,1.880399227142334
38.25,110.25,1.1959987878799438
38.25,110.75,-0.6018014550209045
38.25,111.25,-1.2606003284454346
38.25,111.75,-0.536600649356842
38.25,112.25,0.03460022062063217
38.25,112.75,0.8363986015319824
38.25,113.25,0.5336001515388489
38.25,113.75,2.2175991535186768
38.25,114.25,4.660398960113525
38.25,114.75,4.86899995803833
38.25,115.25,5.38460111618042
38.25,115.75,5.577399730682373
38.25,116.25,5.448999404907227
38.25,116.75,5.316201210021973
38.25,117.25,5.641799449920654
38.25,117.75,1.7907068729400635
38.25,118.25,-0.9089190363883972
38.25,118.75,0.05399882048368454
38.25,119.25,-0.029998779296875
38.25,119.75,
37.75,80.25,-0.09179992973804474
37.75,80.75,3.407999038696289
37.75,81.25,3.944800615310669
37.75,81.75,4.10020112991333
37.75,82.25,5.72160005569458
37.75,82.75,5.091399669647217
37.75,83.25,4.417000770568848
37.75,83.75,4.090402603149414
37.75,84.25,4.571199417114258
37.75,84.75,6.572801113128662
37.75,85.25,4.882201194763184
37.75,85.75,1.3926000595092773
37.75,86.25,-3.717801809310913
37.75,86.75,-3.2020013332366943
37.75,87.25,-3.862800121307373
37.75,87.75,-4.9935994148254395
37.75,88.25,-5.162599563598633
37.75,88.75,-4.901598930358887
37.75,89.25,-5.613199710845947
37.75,89.75,-3.772799015045166
37.75,90.25,-4.729398727416992
37.75,90.75,-3.6770005226135254
37.75,91.25,-1.0580010414123535
37.75,91.75,0.6352007985115051
37.75,92.25,1.9947998523712158
37.75,92.75,0.3863986134529114
37.75,93.25,-1.7172012329101562
37.75,93.75,-0.7841998338699341
37.75,94.25,2.7084004878997803
37.75,94.75,3.3004026412963867
37.75,95.25,-1.5713986158370972
37.75,95.75,-3.518001079559326
37.75,96.25,-3.2740020751953125
37.75,96.75,-5.662201404571533
37.75,97.25,-5.6252007484436035
37.75,97.75,-7.438199996948242
37.75,98.25,-3.8859994411468506
37.75,98.75,-2.650400161743164
37.75,99.25,-1.7517993450164795
37.75,99.75,-1.0474002361297607
37.75,100.25,-0.26620057225227356
37.75,100.75,-1.263999581336975
37.75,101.25,-1.2733981609344482
37.75,101.75,-1.7963988780975342
37.75,102.25,-0.959999680519104
37.75,102.75,3.6437995433807373
37.75,103.25,5.218999862670898
37.75,103.75,6.233599662780762
37.75,104.25,7.323000431060791
37.75,104.75,6.939998626708984
37.75,105.25,4.933601379394531
37.75,105.75,3.168599843978882
37.75,106.25,4.029199600219727
37.75,106.75,4.585399627685547
37.75,107.25,5.48799991607666
37.75,107.75,5.259800910949707
37.75,108.25,5.727598667144775
37.75,108.75,4.922000885009766
37.75,109.25,4.468599796295166
37.75,109.75,2.2564008235931396
37.75,110.25,0.4413992166519165
37.75,110.75,-0.4714004397392273
