Latitude,Longitude,XCO2BiasCo,NDVI,EVI,LST
20.25,106.25,420.300613333,0.2900057435035705,0.1361425220966339,21.200908660888672
20.75,85.25,420.62036,0.5033429861068726,0.233268991112709,26.721599578857425
20.75,104.25,419.0784,0.7357649803161621,0.3939539790153503,18.9060001373291
20.75,104.75,421.07535,0.6952269673347473,0.3877860009670257,19.64520072937012
20.75,105.25,417.58594,0.7001919746398926,0.3994999825954437,20.074800491333008
21.25,84.75,415.452715,0.5491129755973816,0.2735339999198913,26.01219940185547
21.25,92.75,417.606739259,0.8096449971199036,0.462457001209259,22.824800491333008
21.25,95.25,416.966091818,0.3453550040721893,0.2107239961624145,29.667198181152344
21.25,101.25,419.534466667,0.7694259881973267,0.444021999835968,19.035200119018555
21.25,103.75,421.14272,0.6822980046272278,0.3627009987831116,19.809999465942383
21.25,105.75,418.64923,0.4569409787654876,0.2658889889717102,22.100000381469727
21.75,81.75,417.94647,0.4188169836997986,0.2374229878187179,27.25479888916016
21.75,82.25,419.61435,0.3297079801559448,0.1843469887971878,28.856597900390625
21.75,83.25,419.97174,0.3381129801273346,0.1664439886808395,27.377599716186523
21.75,86.75,418.362163333,0.4271830022335052,0.2296399921178817,26.70619773864746
21.75,87.25,422.08273,0.3589673638343811,0.1831821054220199,24.93926239013672
22.25,82.75,416.8107,0.4001500010490417,0.2066799998283386,26.374998092651367
22.25,83.25,417.854,0.4759759902954101,0.230910986661911,25.17879867553711
22.25,87.25,419.67615,0.357574999332428,0.188401997089386,24.759599685668945
22.25,87.75,420.048385,0.3995499908924103,0.2012539952993393,22.9530029296875
22.25,113.25,419.5681,0.4685510396957397,0.2615818977355957,18.61040306091309
22.25,114.25,422.95233,0.6841483116149902,0.3184666633605957,17.21142578125
22.75,98.75,418.943114762,0.757752001285553,0.4150929749011993,18.591598510742188
22.75,106.75,421.027153333,0.6593959927558899,0.3823550045490265,18.09579849243164
22.75,113.75,422.48688,0.4135056138038635,0.1966292113065719,18.61333465576172
22.75,114.75,421.697284,0.6597623229026794,0.3737588226795196,16.97412872314453
23.25,113.25,421.170675,0.4215529859066009,0.2137269973754882,18.502599716186523
23.75,82.75,419.70433,0.5462179780006409,0.2789849936962127,22.569599151611328
23.75,90.25,418.69410375,0.4662739932537079,0.2567749917507171,22.563800811767575
23.75,90.75,417.782428333,0.4790529906749725,0.2576829791069031,22.518199920654297
23.75,93.25,417.01923125,0.7750959992408752,0.4019729793071747,18.347801208496094
23.75,101.75,425.28210125,0.647803008556366,0.3089500069618225,16.69900131225586
23.75,104.25,418.786153333,0.4644050002098083,0.2202269881963729,18.097999572753903
23.75,109.75,423.3294825,0.6288129687309265,0.3589510023593902,15.202400207519531
23.75,112.25,421.76473,0.7170479893684387,0.399757981300354,15.71280002593994
23.75,113.25,420.68398,0.645289957523346,0.3603309988975525,15.926801681518556
24.25,82.25,419.09577,0.4820689857006073,0.2623890042304992,22.486801147460938
24.25,82.75,419.122886,0.4142589867115021,0.2009899914264679,22.86100006103516
24.25,89.75,419.6071,0.4782999753952026,0.2795389890670776,21.246999740600582
24.25,90.75,417.14145,0.4700509905815124,0.2464720010757446,21.72800064086914
24.25,91.75,419.74188,0.5301119685173035,0.27776700258255,22.07460021972656
24.25,113.25,423.37967,0.6319369673728943,0.353861004114151,15.3656005859375
24.75,87.75,419.09405,0.4458049833774566,0.2602370083332062,22.901199340820312
24.75,90.75,416.720256667,0.374809980392456,0.1846790015697479,21.78580093383789
24.75,91.25,416.5244,0.3364399969577789,0.1815909892320633,20.75979995727539
24.75,91.75,414.58606,0.4195959866046905,0.2277970016002655,21.9739990234375
24.75,113.25,420.028735,0.6585699915885925,0.3432089984416961,13.857199668884276
25.25,99.25,424.9140825,0.6182810068130493,0.3076969981193542,14.742799758911133
25.25,107.25,418.232308,0.5781669616699219,0.2994529902935028,15.206600189208984
25.25,113.25,423.9582,0.6153249740600586,0.2944689989089966,12.96679973602295
25.25,115.75,420.4056,0.6771169900894165,0.3296979963779449,11.523001670837402
25.75,80.75,416.90225,0.6510759592056274,0.4053009748458862,18.74519920349121
25.75,113.25,420.08606,0.576665997505188,0.240121990442276,12.195598602294922
26.25,93.75,416.071682308,0.6486349701881409,0.3599929809570312,20.63680076599121
26.25,96.75,416.314201667,0.7827379703521729,0.4418119788169861,18.139402389526367
26.25,102.25,419.094325,0.4567659795284271,0.2137819975614547,17.09939956665039
26.25,104.75,419.372268889,0.5357930064201355,0.2381679862737655,13.487000465393066
26.25,110.25,421.21018,0.6042850017547607,0.2573349773883819,11.419800758361816
26.25,112.75,420.652801667,0.4564049839973449,0.2273979932069778,13.701200485229492
26.25,113.25,421.254075,0.539385974407196,0.2578659951686859,12.546600341796877
26.75,112.75,421.70955,0.3923259973526001,0.2041889876127243,13.772600173950195
27.25,112.75,420.096,0.4726959764957428,0.2344089895486831,11.960200309753418
27.75,99.75,419.512965,0.5307679772377014,0.2111869901418686,6.095001220703125
27.75,107.75,422.128313333,0.5025959610939026,0.221354991197586,13.258399963378906
27.75,112.75,422.28992,0.4199720025062561,0.2188929915428161,11.921000480651855
27.75,116.25,419.490796667,0.4938929975032806,0.2350879907608032,10.913199424743652
28.25,105.25,425.7909,0.5572369694709778,0.2349919974803924,11.22300148010254
28.25,112.75,424.127855,0.3718809783458709,0.1849730014801025,11.604399681091309
28.75,86.25,418.708175833,0.0995749980211258,0.0604459978640079,7.328599452972412
28.75,89.25,419.72475,0.1223349943757057,0.0680329948663711,10.979599952697754
28.75,97.25,428.906751667,0.3063600063323974,0.1345999985933303,0.2002004981040954
28.75,110.75,420.74591,0.5732539892196655,0.2405749857425689,10.136799812316896
28.75,113.75,422.214502,0.557325005531311,0.2697199881076813,10.3193998336792
29.25,80.25,415.83566,0.6413549780845642,0.301270991563797,15.22819995880127
29.25,106.25,423.76108,0.4568710029125213,0.2365849912166595,12.29599952697754
29.25,106.75,422.72916,0.5033389925956726,0.2288530021905899,11.36660099029541
29.75,80.25,424.69904,0.585375964641571,0.2560130059719085,13.217401504516602
