Latitude,Longitude,NDVI
39.25,115.25,0.21712099015712738
39.25,115.75,0.23413699865341187
39.25,116.25,0.20825399458408356
39.25,116.75,0.17659199237823486
39.25,117.25,0.16734099388122559
39.25,117.75,0.13654457032680511
39.25,118.25,0.12482428550720215
39.25,118.75,0.18458028137683868
39.25,119.25,0.15264399349689484
39.25,119.75,
38.75,80.25,0.05591600015759468
38.75,80.75,0.05137199908494949
38.75,81.25,0.047596000134944916
38.75,81.75,0.05154800042510033
38.75,82.25,0.055390000343322754
38.75,82.75,0.052890997380018234
38.75,83.25,0.05404399707913399
38.75,83.75,0.054975997656583786
38.75,84.25,0.06065899878740311
38.75,84.75,0.060673996806144714
38.75,85.25,0.057437997311353683
38.75,85.75,0.05582999810576439
38.75,86.25,0.0592459999024868
38.75,86.75,0.050140999257564545
38.75,87.25,0.06744799762964249
38.75,87.75,0.05190799757838249
38.75,88.25,0.048516999930143356
38.75,88.75,0.06351199746131897
38.75,89.25,0.06246299669146538
38.75,89.75,0.05687299743294716
38.75,90.25,0.054104000329971313
38.75,90.75,0.04636899754405022
38.75,91.25,0.05316299945116043
38.75,91.75,0.055521998554468155
38.75,92.25,0.049577999860048294
38.75,92.75,0.04736199975013733
38.75,93.25,0.044648997485637665
38.75,93.75,0.03886599838733673
38.75,94.25,0.06326600164175034
38.75,94.75,0.056605998426675797
38.75,95.25,0.059067998081445694
38.75,95.75,0.03664099797606468
38.75,96.25,0.07162399590015411
38.75,96.75,0.1000639945268631
38.75,97.25,0.09056799858808517
38.75,97.75,0.10029000043869019
38.75,98.25,0.1292319893836975
38.75,98.75,0.159171000123024
38.75,99.25,0.1654440015554428
38.75,99.75,0.19373399019241333
38.75,100.25,0.14493399858474731
38.75,100.75,0.11950099468231201
38.75,101.25,0.11782899498939514
38.75,101.75,0.11131599545478821
38.75,102.25,0.0847800001502037
38.75,102.75,0.07751599699258804
38.75,103.25,0.09403499960899353
38.75,103.75,0.08957399427890778
38.75,104.25,0.08866000175476074
38.75,104.75,0.0933849960565567
38.75,105.25,0.0966699942946434
38.75,105.75,0.14879299700260162
38.75,106.25,0.11723599582910538
38.75,106.75,0.10858999937772751
38.75,107.25,0.11685699969530106
38.75,107.75,0.12021799385547638
38.75,108.25,0.12209299951791763
38.75,108.75,0.13371199369430542
38.75,109.25,0.14395099878311157
38.75,109.75,0.1583859920501709
38.75,110.25,0.17188400030136108
38.75,110.75,0.17225798964500427
38.75,111.25,0.2121889889240265
38.75,111.75,0.22208799421787262
38.75,112.25,0.2369059920310974
38.75,112.75,0.17103299498558044
38.75,113.25,0.21908599138259888
38.75,113.75,0.28255200386047363
38.75,114.25,0.20128199458122253
38.75,114.75,0.20532798767089844
38.75,115.25,0.24868600070476532
38.75,115.75,0.23146699368953705
38.75,116.25,0.19184599816799164
38.75,116.75,0.1637589931488037
38.75,117.25,0.14621399343013763
38.75,117.75,0.04663103446364403
38.75,118.25,
38.75,118.75,0.10619999468326569
38.75,119.25,
38.75,119.75,
38.25,80.25,0.057130999863147736
38.25,80.75,0.054085999727249146
38.25,81.25,0.051865000277757645
38.25,81.75,0.06433200091123581
38.25,82.25,0.05837699770927429
38.25,82.75,0.054104000329971313
38.25,83.25,0.05506499856710434
38.25,83.75,0.05408499762415886
38.25,84.25,0.060117997229099274
38.25,84.75,0.06068800017237663
38.25,85.25,0.06772100180387497
38.25,85.75,0.0817210003733635
38.25,86.25,0.04917999729514122
38.25,86.75,0.04695399850606918
38.25,87.25,0.0538409985601902
38.25,87.75,0.06318400055170059
38.25,88.25,0.065140001475811
38.25,88.75,0.06636399775743484
38.25,89.25,0.06704799830913544
38.25,89.75,0.05927499756217003
38.25,90.25,0.05749799683690071
38.25,90.75,0.0568230003118515
38.25,91.25,0.049372997134923935
38.25,91.75,0.049789998680353165
38.25,92.25,0.05136599764227867
38.25,92.75,0.04836899787187576
38.25,93.25,0.047714997082948685
38.25,93.75,0.049379996955394745
38.25,94.25,0.05985099822282791
38.25,94.75,0.06434600055217743
38.25,95.25,0.07381899654865265
38.25,95.75,0.07048799842596054
38.25,96.25,0.07352399826049805
38.25,96.75,0.07772399485111237
38.25,97.25,0.08589600026607513
38.25,97.75,0.054281000047922134
38.25,98.25,0.1338540017604828
38.25,98.75,0.14035499095916748
38.25,99.25,0.18276800215244293
38.25,99.75,0.18448099493980408
38.25,100.25,0.19007200002670288
38.25,100.75,0.18778499960899353
38.25,101.25,0.18209099769592285
38.25,101.75,0.1484149992465973
38.25,102.25,0.11558699607849121
38.25,102.75,0.09837699681520462
38.25,103.25,0.08686000108718872
38.25,103.75,0.0830949991941452
38.25,104.25,0.08946999907493591
38.25,104.75,0.09186899662017822
38.25,105.25,0.09977399557828903
38.25,105.75,0.10553500056266785
38.25,106.25,0.1290919929742813
38.25,106.75,0.11846599727869034
38.25,107.25,0.11526599526405334
38.25,107.75,0.12361499667167664
38.25,108.25,0.1292939931154251
38.25,108.75,0.13859400153160095
